Season,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
1,10.13,8.18,7.19,6.62,6.66,6.86,,,,,,,,,
2,6.67,5.58,4.73,4.8,4.41,4.49,4.39,3.86,3.66,2.99,3.4,3.62,3.49,3.67,3.05
